41.0,2023-12-18 17:11:39.996134,2023-12-18 17:11:40.245652,4,"[495.2287, 0.3042, 563.3712, 152.5933]"
67.0,2023-12-18 17:11:18.072112,2023-12-18 17:11:19.887918,44,"[440.5381, 188.8263, 532.6275, 316.4584]"
73.0,2023-12-18 17:11:35.273676,2023-12-18 17:12:12.660833,687,"[202.904, 24.24, 428.1594, 241.0594]"
59.0,2023-12-18 17:11:45.736528,2023-12-18 17:12:38.601938,19,"[1.6727, 0.5618, 637.4815, 476.8658]"
72.0,2023-12-18 17:12:26.598623,2023-12-18 17:12:27.663205,5,"[1.2464, 0.4662, 634.6019, 478.1501]"
72.0,2023-12-18 17:14:06.031688,2023-12-18 17:14:06.680509,4,"[0.7014, 0.2012, 635.0741, 478.6074]"
67.0,2023-12-18 17:13:02.251807,2023-12-18 17:13:07.364540,118,"[320.2777, 257.6734, 449.8403, 339.9229]"
73.0,2023-12-18 17:13:47.977189,2023-12-18 17:14:37.673253,324,"[256.9312, 129.0674, 529.0656, 407.8688]"
56.0,2023-12-18 17:11:39.169902,2023-12-18 17:11:41.454938,2,"[578.8879, 6.215, 639.7248, 273.7483]"
41.0,2023-12-18 17:12:50.662798,2023-12-18 17:12:51.797938,7,"[286.4208, 0.1792, 360.601, 91.0161]"
59.0,2023-12-18 17:13:50.873408,2023-12-18 17:14:06.802138,2,"[1.5599, 0.6125, 625.3644, 478.3743]"
63.0,2023-12-18 17:11:55.678008,2023-12-18 17:11:55.678008,1,"[1.1921997, 0.61383057, 637.7943, 478.35516]"
76.0,2023-12-18 17:12:16.346860,2023-12-18 17:12:16.666363,5,"[439.6739, 0.2555, 631.5266, 208.188]"
72.0,2023-12-18 17:14:37.231988,2023-12-18 17:14:37.231988,1,"[1.1651611, 0.14984131, 635.3534, 478.54794]"
4.0,2023-12-18 17:12:38.374154,2023-12-18 17:12:38.412495,3,"[488.0867, 0.6465, 639.5545, 402.9743]"
36.0,2023-12-18 17:12:38.525731,2023-12-18 17:12:38.525731,1,"[482.20575, 0.2504425, 639.762, 172.3211]"
31.0,2023-12-18 17:12:39.615506,2023-12-18 17:12:39.615506,1,"[490.7155, 0.3991089, 639.7043, 477.15045]"
43.0,2023-12-18 17:12:44.377503,2023-12-18 17:12:44.377503,1,"[490.2392, 0.41488647, 639.57074, 174.62653]"
39.0,2023-12-18 17:12:50.621888,2023-12-18 17:13:20.144496,756,"[225.1291, 5.222, 306.3345, 112.603]"
75.0,2023-12-18 17:12:51.067567,2023-12-18 17:12:51.633805,8,"[181.1705, 0.2777, 278.5495, 108.7905]"
26.0,2023-12-18 17:13:00.829762,2023-12-18 17:13:04.975949,90,"[276.5825, 0.0834, 425.2794, 38.0615]"
42.0,2023-12-18 17:13:20.103286,2023-12-18 17:13:20.103286,1,"[548.84875, 48.959015, 639.89636, 160.66188]"



67.0,2023-12-18 18:17:37.492991,2023-12-18 18:17:39.298830,44,"[440.5381, 188.8263, 532.6275, 316.4584]"
73.0,2023-12-18 18:17:54.600839,2023-12-18 18:18:31.633479,687,"[202.904, 24.24, 428.1594, 241.0594]"
67.0,2023-12-18 18:19:21.091200,2023-12-18 18:19:26.189820,118,"[320.2777, 257.6734, 449.8403, 339.9229]"
73.0,2023-12-18 18:20:06.778538,2023-12-18 18:20:56.389411,324,"[256.9312, 129.0674, 529.0656, 407.8688]"
39.0,2023-12-18 18:19:09.576012,2023-12-18 18:19:38.999572,756,"[225.1291, 5.222, 306.3345, 112.603]"
26.0,2023-12-18 18:19:19.674265,2023-12-18 18:19:23.806130,90,"[276.5825, 0.0834, 425.2794, 38.0615]"
